subject description|course number|Title|secions|hours|CRN|Instructional methods|instructional |Sunday|Monday|Tuesday|Wednesday|Thursday|Friday|Saturday|Start time|End time|Type|Building|Room|Start Date|End Date|seat remain|Class capacity |Schedule type
Mathemathics|181|Calculus II|ED2|0|16416|Meet on campus|Hou, Guanzhou (Primary)|0|0|1|0|1|0|0|13:00:00|13:50:00|Class|Taft Hall|312|2025-01-13|2025-05-02|0|22|Discussion/Recitation
Mathemathics|181|Calculus II|HD3|0|16420|Meet on campus|Benali, Julian (Primary)|0|0|1|0|1|0|0|15:00:00|15:50:00|Class|Taft Hall|316|2025-01-13|2025-05-02|0|22|Discussion/Recitation
Mathemathics|181|Calculus II|ED3|0|23851|Meet on campus|Kruzan, Katie (Primary)|0|0|1|0|1|0|0|13:00:00|13:50:00|Class|Taft Hall|316|2025-01-13|2025-05-02|0|23|Discussion/Recitation
Mathemathics|181|Calculus II|HD4|0|33071|Meet on campus|Pekmeci,Devrim (Primary)|0|0|1|0|1|0|0|13:00:00|13:50:00|Class|Stevenson Hall|207|2025-01-13|2025-05-02|0|23|Discussion/Recitation
Mathemathics|181|Calculus II|ED5|0|37829|Meet on campus|Song, Chen (Primary)|0|0|1|0|1|0|0|15:00:00|15:50:00|Class|Taft Hall|312|2025-01-13|2025-05-02|0|23|Discussion/Recitation
Mathemathics|181|Calculus II|ED6|0|37830|Meet on campus|Song, Chen (Primary)|0|0|1|0|1|0|0|14:00:00|14:50:00|Class|Lincoln Hall|305|2025-01-13|2025-05-02|0|22|Discussion/Recitation
Mathemathics|181|Calculus II|HD6|0|37833|Meet on campus|Kong, Doyeon (Primary)|0|0|1|0|1|0|0|14:00:00|14:50:00|Class|Stevenson Hall|207|2025-01-13|2025-05-02|0|22|Discussion/Recitation
Mathemathics|181|Calculus II|HL|4|38946|Meet on campus|Diep, Vi (Primary)|0|1|0|1|0|1|0|13:00:00|13:50:00|Class|Lecture Center Building F|F4|2025-01-13|2025-05-02|0|112|Lecture
Mathemathics|181|Calculus II|EL|4|38947|Meet on campus|McDonald, Peter (Primary)|0|1|0|1|0|1|0|15:00:00|15:50:00|Class|Academic and Residential Complex|242|2025-01-13|2025-05-02|0|110|Lecture
Mathemathics|181|Calculus II|DL|4|41132|Meet on campus|McDonald, Peter (Primary)|0|1|0|1|0|1|0|14:00:00|14:50:00|Class|Academic and Residential Complex|242|2025-01-13|2025-05-02|0|115|Lecture
Mathemathics|181|Calculus II|IL|4|46901|Meet on campus|Diep, Vi (Primary)|0|1|0|1|0|1|0|09:00:00|09:50:00|Class|Lecture Center Building D|D2|2025-01-13|2025-05-02|1|108|Lecture
Mathemathics|181|Calculus II|ID|0|46902|Meet on campus|Barnett, Caleb (Primary)|0|0|1|0|1|0|0|09:00:00|09:50:00|Class|Stevenson Hall|212|2025-01-13|2025-05-02|0|22|Discussion/Recitation
Mathemathics|181|Calculus II|ID2|0|46904|Meet on campus|Pekmezci, Devrim (Primary)|0|0|1|0|1|0|0|11:00:00|11:50:00|Class|Taft Hall|316|2025-01-13|2025-05-02|0|23|Discussion/Recitation
Mathemathics|181|Calculus II|JL|4|47387|Meet on campus|Protsak, Victor (Primary)|0|1|0|1|0|1|0|17:00:00|05:50:00|Class|Lecture Center Building F|F4|2025-01-13|2025-05-02|13|69|Lecture
Mathemathics|181|Calculus II|JD1|0|47388|Meet on campus|Zhu, Haoming (Primary)|0|0|1|0|1|0|0|17:00:00|05:50:00|Class|Stevenson Hall|207|2025-01-13|2025-05-02|3|23|Discussion/Recitation
Mathemathics|181|Calculus II|JD3|0|47390|Meet on campus|Kong, Doyeon (Primary)|0|0|1|0|1|0|0|13:00:00|13:50:00|Class|Stevenson Hall|212|2025-01-13|2025-05-02|1|23|Discussion/Recitation
Mathemathics|181|Calculus II|JD5|0|47392|Meet on campus|Chen, Hangsheng (Primary)|0|0|1|0|1|0|0|13:00:00|13:50:00|Class|Stevenson Hall|307|2025-01-13|2025-05-02|9|23|Discussion/Recitation
Mathemathics|181|Calculus II|ID3|0|48087|Meet on campus|Barnett, Caleb (Primary)|0|0|1|0|1|0|0|08:00:00|08:50:00|Class|Taft Hall|316|2025-01-13|2025-05-02|0|23|Discussion/Recitation
Mathemathics|181|Calculus II|ID4|0|48088|Meet on campus|Singhal, Chirag (Primary)|0|0|1|0|1|0|0|09:00:00|09:50:00|Class|Taft Hall|316|2025-01-13|2025-05-02|2|23|Discussion/Recitation
Mathemathics|181|Calculus II|ID5|0|48089|Meet on campus|Singhal, Chirag (Primary)|0|0|1|0|1|0|0|10:00:00|10:50:00|Class|Lincoln Hall|215|2025-01-13|2025-05-02|1|23|Discussion/Recitation
